"Zaver","Zaver"
"Payment configuration","Payment configuration"
"Enabled","Enabled"
"Yes","Yes"
"No","No"
"Title","Title"
"Host URL","Host URL"
"API-Key","API-Key"
"Callback Token","Callback Token"
"Automatic full capture on shipping","Automatic full capture on shipping"
"Enabled test mode", "Enabled test mode"
"Plugin Version", "Plugin Version"
"Error log", "Error log"
"Payment Methods", "Payment Methods"
"Instalments", "Instalments"
"Paylater", "Paylater"
"New Order Status", "New Order Status"
"Sort Order", "Sort Order"
"Your payment is complete","Your payment is complete"
"You have canceled your order","You have canceled your order"
"Please, check your input and try again!","Please, check your input and try again!"
"Amount","Amount"
"Capture in Zaver", "Capture in Zaver"
"The refund can not been processed. Please try again later.","The refund can not been processed. Please try again later."
